fight_id,date,event,fighter_a,fighter_b,winner,commence_time,entry_snapshot_ts,entry_lead_hours,entry_n_books,entry_odds_a,entry_odds_b,entry_prob_a,entry_source,close_snapshot_ts,close_lead_hours,close_n_books,close_odds_a,close_odds_b,close_prob_a,close_source
00131c8e13feeb1ed41f,2021-01-23 00:00:00+00:00,UFC 257: Poirier vs. McGregor,Julianna Pena,Sara McMann,A,2021-01-24 00:00:00+00:00,2021-01-16 20:00:00+00:00,172.0,10,105,-130,0.4632426988922458,archive_consensus,,,,,,,
008ebccd3776d116e9b7,2023-12-02 00:00:00+00:00,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,B,2023-12-02 23:30:00+00:00,2023-11-29 14:00:00+00:00,81.5,12,252,-325,0.27087316762268965,archive_consensus,,,,,,,
01bedd3d3c476f310575,2022-08-13 00:00:00+00:00,UFC Fight Night: Vera vs. Cruz,Nate Landwehr,David Onama,A,2022-08-13 23:00:00+00:00,2022-08-10 14:00:00+00:00,81.0,14,220,-278,0.2982013253392238,archive_consensus,,,,,,,
01befeef9196a8330e56,2022-11-19 00:00:00+00:00,UFC Fight Night: Nzechukwu vs. Cutelaba,Vanessa Demopoulos,Maria Oliveira,A,2022-11-19 19:00:00+00:00,2022-11-16 14:00:00+00:00,77.0,13,100,-121,0.4773218142548596,archive_consensus,,,,,,,
01c509cf4f792419b893,2025-03-29 00:00:00+00:00,UFC Fight Night: Moreno vs. Erceg,Christian Rodriguez,Melquizael Costa,B,2025-03-29 20:10:00+00:00,2025-03-26 14:00:00+00:00,78.16666666666667,8,-155,130,0.5829926410466066,archive_consensus,2025-03-29 20:00:00+00:00,2.25,8.0,-190.0,160.0,0.6301020408163266,archive_consensus
01ed9649fd33b6533cc1,2022-02-12 00:00:00+00:00,UFC 271: Adesanya vs. Whittaker 2,Derrick Lewis,Tai Tuivasa,B,2022-02-13 00:00:00+00:00,2022-02-02 14:00:00+00:00,250.0,10,-189,160,0.6296770886724757,archive_consensus,,,,,,,
02e5ef8f41d2a85f1519,2023-06-10 00:00:00+00:00,UFC 289: Nunes vs. Aldana,Mike Malott,Adam Fugitt,A,2023-06-10 22:00:00+00:00,2023-05-24 14:00:00+00:00,416.0,12,-210,172,0.6482069904675443,archive_consensus,,,,,,,
02e87c381671eff1e0ef,2021-01-16 00:00:00+00:00,UFC Fight Night: Holloway vs. Kattar,David Zawada,Ramazan Emeev,B,2021-01-16 17:55:00+00:00,2021-01-13 14:00:00+00:00,75.91666666666667,9,210,-263,0.30807094967325804,archive_consensus,,,,,,,
02f504327196c050e12a,2021-06-26 00:00:00+00:00,UFC Fight Night: Gane vs. Volkov,Ciryl Gane,Alexander Volkov,A,2021-06-26 23:00:00+00:00,2021-06-23 14:00:00+00:00,81.0,14,-169,140,0.6012451823302698,archive_consensus,2021-06-26 20:00:00+00:00,3.3333333333333335,14.0,-159.0,135.0,0.5906109223109144,archive_consensus
0311d96895a99b23af1f,2025-09-13 00:00:00+00:00,UFC Fight Night: Lopes vs. Silva,Alessandro Costa,Alden Coria,B,2025-09-13 19:50:00+00:00,2025-09-10 14:00:00+00:00,77.83333333333333,7,-450,339,0.7822213423084539,archive_consensus,,,,,,,
